,Valores faltantes,Porcentaje (%)
CONSTRUCTIONYEAR,45574,60.121631070010416
FLATLOCATIONID,5162,6.8097568697808795
FLOORCLEAN,3114,4.108016833106869
LOCATIONID,68,0.08970621215519176
LOCATIONNAME,68,0.08970621215519176
CUSEC,68,0.08970621215519176
CADASTRALQUALITYID,1,0.0013192090022822317
